T_BUTTON_OK "OK"
T_BUTTON_DONT_SHOW "Meldung nicht mehr anzeigen"
T_BUTTON_YES "Ja"
T_BUTTON_NO "Nein"
T_BUTTON_NEXT "Weiter->"
T_BUTTON_BACK "<-Zurück"
T_BUTTON_CLOSE_FIRST "Dieses Fenster zuerst schließen"
T_TURN_0_A "Alle Meldungen - wie diese hier - werden im Register <c:0,0,200>Nachr.<e> (siehe unten) gespeichert. Wenn Sie eine bereits gezeigte Meldung noch einmal nachlesen möchten, öffnen Sie dieses Register, blättern durch die Liste der Überschriften und klicken dann auf den gewünschten Eintrag."
T_TURN_0_TITLE "WILLKOMMEN!"
T_TURN_0 "Call To Power II bietet Ihnen die Gelegenheit, die mächtigste, modernste oder auch friedlichste Nation aller Zeiten aufzubauen. Siedeln Sie Städte an, um Ländereien bewirtschaften, Erkundungs- und Eroberungstruppen erschaffen und diplomatische Verhandlungen mit anderen Nationen führen zu können."
T_TURN_0_B_TITLE "Bewegen Sie den Siedler"
T_TURN_0_B "Suchen Sie einen geeigneten Standort für die Gründung einer Stadt. Die Einsatzbereitschaft Ihres Siedlers wird durch eine <c:50,200,50>grüne<e> Umrandung angezeigt. Um ihn fortzubewegen, klicken Sie ihn an, ziehen den Mauszeiger auf das gewünschte Geländefeld und lassen die Maustaste dort wieder los."
T_TURN_0_C "Alternativ können Sie auch die Tasten des Nummernblocks Ihrer Tastatur benutzen, um den Siedler über die Karte zu bewegen. (ACHTUNG: In diesem Fall muss der 'Num'-Modus des Nummernblocks <c:220,0,50>EINGESCHALTET<e> sein!)"
T_GOOD_PLACES "Weideland, Wälder und Flüsse bieten hohe Nahrungs-, Wirtschafts- und Produktionserträge und sind daher gute Standorte für Städte. Um eine neue Stadt anzusiedeln, markieren Sie Ihren Siedler und drücken die Taste <c:0,0,220>'b'<e> oder klicken ihn mit der rechten Maustaste an und wählen <c:0,0,220>'Ansiedeln'<e>."
T_TELL_ME_GOOD "Handelsgüter sind Naturprodukte oder bereits verarbeitete natürliche Rohstoffe, die zwecks Goldgewinnung an andere Städte verkauft werden können. Je nach Geländeart sind unterschiedliche Handelsgüter verfügbar."
T_TELL_ME_RIVER "Da sie die angrenzenden Geländefelder aufwerten, sollten Sie Ihre Städte in der Nähe von Flüssen ansiedeln: Einheiten können sich entlang von Flussläufen mit doppelter Geschwindigkeit fortbewegen und Städte profitieren von den wertvollen Ressourcen, die hier zur Verfügung stehen."
T_CREATED_CITY "Ihr Siedler hat die Stadt <c:0,0,200>{city[0].name}<e> gegründet. Bei jeder Stadtansiedelung wird automatisch der 'Baumanager' geöffnet, mit dessen Hilfe Sie diverse Bauprojekte wie Einheiten, Modernisierungen oder Weltwunder in Auftrag geben können."
T_HUT_CITY "Ihre erste Stadt entstammt den Ruinen einer längst verloren geglaubten Kultur. Um die dortige Produktion in Gang zu bringen, klicken Sie im 'Stadtmanager' auf <c:0,50,255>'Bauen'<e>."
T_BUILT_CITY_WHAT_NOW "Klicken Sie auf den unten blinkenden 'Stadtmanager'-Button, um sich die wichtigsten aktuellen Informationen über Ihre Stadt anzeigen zu lassen. Mit einem Klick auf <c:0,50,255>'Bauen'<e> können Sie die ersten Bauprojekte in Auftrag geben." 
